IP Address,Timestamp,HTTP Method,Request Path,Status Code,Response Size,Referrer,User Agent,Request Length,Query Parameters Count,Is Secure,Time of Day,Day of Week,User-Agent Length,Referrer Length,Status Code Category,Request Frequency,Status Code Distribution,Request Size Distribution,User-Agent Diversity,Time Interval Between Requests,Path Frequency,Suspicious Patterns
172.18.28.9,2024-09-10T07:24:29+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PfAUM&sid=44Y4rqAR4cd9GA1qAArF,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",274,4,No,07:24:29,Tuesday,111,20,2xx,7698,"defaultdict(<class 'int'>, {'200': 7279, '400': 343, '499': 72, '304': 4})",1732.0350740452066,66,0:00:03.463167,1,No
172.18.28.9,2024-09-10T07:24:29+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7PfGbj&sid=44Y4rqAR4cd9GA1qAArF,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,07:24:29,Tuesday,111,20,2xx,7699,"defaultdict(<class 'int'>, {'200': 7280, '400': 343, '499': 72, '304': 4})",1731.8103649824652,66,0:00:03.462718,1,No
172.18.28.9,2024-09-10T07:24:41+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PfJWM,200,118,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",297,3,No,07:24:41,Tuesday,160,17,2xx,7700,"defaultdict(<class 'int'>, {'200': 7281, '400': 343, '499': 72, '304': 4})",1731.6007792207793,67,0:00:03.463826,1,No
172.18.28.9,2024-09-10T07:24:41+05:30,GET,/DB/AM/v1/Dept/DDGetLocationList?filter=(validity=ENABLE)&order=locationName%20asc,200,155999,-,Dalvik/2.1.0 (Linux; U; Android 11; CPH1937 Build/RKQ1.200903.002),227,2,No,07:24:41,Tuesday,66,1,2xx,7701,"defaultdict(<class 'int'>, {'200': 7282, '400': 343, '499': 72, '304': 4})",1751.6329048175562,68,0:00:03.463377,100,No
172.18.28.9,2024-09-10T07:24:41+05:30,GET,/DB/Mobile/v1/ViewJobCardStatusCount,200,311,-,Dalvik/2.1.0 (Linux; U; Android 11; CPH1937 Build/RKQ1.200903.002),178,0,No,07:24:41,Tuesday,66,1,2xx,7702,"defaultdict(<class 'int'>, {'200': 7283, '400': 343, '499': 72, '304': 4})",1751.4458582186446,68,0:00:03.462927,67,No
172.18.28.9,2024-09-10T07:24:41+05:30,GET,/DB/UI/v1/GetFaultStatusCount,200,5622,-,Dalvik/2.1.0 (Linux; U; Android 11; CPH1937 Build/RKQ1.200903.002),172,0,No,07:24:41,Tuesday,66,1,2xx,7703,"defaultdict(<class 'int'>, {'200': 7284, '400': 343, '499': 72, '304': 4})",1751.948331818772,68,0:00:03.462477,68,No
172.18.28.9,2024-09-10T07:24:43+05:30,GET,/socket.io/?EIO=4&transport=websocket&sid=4KHnrWFlOxgMP_ZKAAyd,400,45,-,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",297,3,No,07:24:43,Tuesday,160,1,4xx,7704,"defaultdict(<class 'int'>, {'200': 7284, '400': 344, '499': 72, '304': 4})",1751.7267653167187,68,0:00:03.462287,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PfK63,200,118,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",297,3,No,07:24:43,Tuesday,160,17,2xx,7705,"defaultdict(<class 'int'>, {'200': 7285, '400': 344, '499': 72, '304': 4})",1751.5147306943543,68,0:00:03.461838,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7PfK4-&sid=4KHnrWFlOxgMP_ZKAAyd,200,2,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",321,4,No,07:24:43,Tuesday,160,17,2xx,7706,"defaultdict(<class 'int'>, {'200': 7286, '400': 344, '499': 72, '304': 4})",1751.287697897742,68,0:00:03.461389,1,No
172.18.28.9,2024-09-10T07:24:43+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7PfK52&sid=4KHnrWFlOxgMP_ZKAAyd,200,32,http://localhost/,"Mozilla/5.0 (Linux; Android 11; CPH1937 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36",321,4,No,07:24:43,Tuesday,160,17,2xx,7707,"defaultdict(<class 'int'>, {'200': 7287, '400': 344, '499': 72, '304': 4})",1751.0646165823277,68,0:00:03.460940,1,No
